gender,level_of_education,lunch,math_score,reading_score,writing_score,average,performance
0,0,0,72,72,74,72.66666667,0
0,0,0,69,90,88,82.33333333,0
0,1,0,90,95,93,92.66666667,0
1,1,1,47,57,44,49.33333333,1
1,0,0,76,78,75,76.33333333,0
0,1,0,71,83,78,77.33333333,0
0,0,0,88,95,92,91.66666667,0
1,0,1,40,43,39,40.66666667,1
1,0,1,64,64,67,65.0,0
0,0,1,38,60,50,49.33333333,1
1,1,0,58,54,52,54.66666667,1
1,1,0,40,52,43,45.0,1
0,0,0,65,81,73,73.0,0
1,0,0,78,72,70,73.33333333,0
0,1,0,50,53,58,53.66666667,1
0,1,0,69,75,78,74.0,0
1,0,0,88,89,86,87.66666667,0
0,1,1,18,32,28,26.0,1
1,1,1,46,42,46,44.66666667,1
0,1,1,54,58,61,57.66666667,1
1,0,0,66,69,63,66.0,0
0,0,1,65,75,70,70.0,0
1,0,0,44,54,53,50.33333333,1
0,1,0,69,73,73,71.66666667,0
1,0,1,74,71,80,75.0,0
1,1,1,73,74,72,73.0,0
1,0,0,69,54,55,59.33333333,1
0,0,0,67,69,75,70.33333333,0
1,0,0,70,70,65,68.33333333,0
0,1,0,62,70,75,69.0,0
0,0,0,69,74,74,72.33333333,0
0,0,0,63,65,61,63.0,0
0,1,1,56,72,65,64.33333333,0
1,0,0,40,42,38,40.0,1
1,0,0,97,87,82,88.66666667,0
1,1,0,81,81,79,80.33333333,0
0,1,0,74,81,83,79.33333333,0
0,1,1,50,64,59,57.66666667,1
0,1,1,75,90,88,84.33333333,0
1,1,1,57,56,57,56.66666667,1
1,1,1,55,61,54,56.66666667,1
0,1,0,58,73,68,66.33333333,0
0,1,0,53,58,65,58.66666667,1
1,0,1,59,65,66,63.33333333,0
0,1,1,50,56,54,53.33333333,1
1,1,0,65,54,57,58.66666667,1
0,1,0,55,65,62,60.66666667,0
0,0,0,66,71,76,71.0,0
0,1,1,57,74,76,69.0,0
1,0,0,82,84,82,82.66666667,0
1,0,0,53,55,48,52.0,1
1,1,1,77,69,68,71.33333333,0
1,0,0,53,44,42,46.33333333,1
1,0,0,88,78,75,80.33333333,0
0,1,1,71,84,87,80.66666667,0
0,0,1,33,41,43,39.0,1
0,1,0,82,85,86,84.33333333,0
1,1,0,52,55,49,52.0,1
1,0,0,58,59,58,58.33333333,1
0,1,1,0,17,10,9.0,1
1,0,1,79,74,72,75.0,0
1,1,1,39,39,34,37.33333333,1
1,1,1,62,61,55,59.33333333,1
0,1,0,69,80,71,73.33333333,0
0,1,0,59,58,59,58.66666667,1
1,1,0,67,64,61,64.0,0
1,1,1,45,37,37,39.66666667,1
0,0,0,60,72,74,68.66666667,0
1,1,1,61,58,56,58.33333333,1
0,1,0,39,64,57,53.33333333,1
0,0,1,58,63,73,64.66666667,0
1,0,0,63,55,63,60.33333333,0
0,1,1,41,51,48,46.66666667,1
1,1,1,61,57,56,58.0,1
1,1,0,49,49,41,46.33333333,1
1,1,1,44,41,38,41.0,1
1,1,0,30,26,22,26.0,1
1,0,0,80,78,81,79.66666667,0
0,1,0,61,74,72,69.0,0
0,1,0,62,68,68,66.0,0
0,1,0,47,49,50,48.66666667,1
1,0,1,49,45,45,46.33333333,1
1,0,1,50,47,54,50.33333333,1
1,1,0,72,64,63,66.33333333,0
1,0,1,42,39,34,38.33333333,1
0,0,0,73,80,82,78.33333333,0
0,0,1,76,83,88,82.33333333,0
0,1,0,71,71,74,72.0,0
0,0,0,58,70,67,65.0,0
0,1,0,73,86,82,80.33333333,0
0,0,0,65,72,74,70.33333333,0
1,0,1,27,34,36,32.33333333,1
1,0,0,71,79,71,73.66666667,0
1,1,1,43,45,50,46.0,1
0,0,0,79,86,92,85.66666667,0
1,1,1,78,81,82,80.33333333,0
1,1,0,65,66,62,64.33333333,0
0,0,0,63,72,70,68.33333333,0
0,0,1,58,67,62,62.33333333,0
0,0,0,65,67,62,64.66666667,0
1,0,0,79,67,67,71.0,0
1,0,0,68,74,74,72.0,0
0,1,0,85,91,89,88.33333333,0
1,0,0,60,44,47,50.33333333,1
1,0,0,98,86,90,91.33333333,0
0,0,0,58,67,72,65.66666667,0
0,1,0,87,100,100,95.66666667,0
1,1,0,66,63,64,64.33333333,0
0,1,1,52,76,70,66.0,0
0,1,0,70,64,72,68.66666667,0
0,1,1,77,89,98,88.0,0
1,0,0,62,55,49,55.33333333,1
1,1,0,54,53,47,51.33333333,1
0,0,0,51,58,54,54.33333333,1
0,0,0,99,100,100,99.66666667,0
1,0,0,84,77,74,78.33333333,0
0,0,1,75,85,82,80.66666667,0
0,0,0,78,82,79,79.66666667,0
0,1,0,51,63,61,58.33333333,1
0,0,0,55,69,65,63.0,0
0,0,0,79,92,89,86.66666667,0
1,1,0,91,89,92,90.66666667,0
0,0,0,88,93,93,91.33333333,0
1,0,1,63,57,56,58.66666667,1
1,0,0,83,80,73,78.66666667,0
0,0,0,87,95,86,89.33333333,0
1,1,0,72,68,67,69.0,0
1,0,0,65,77,74,72.0,0
1,1,0,82,82,74,79.33333333,0
0,0,0,51,49,51,50.33333333,1
1,1,0,89,84,82,85.0,0
1,1,1,53,37,40,43.33333333,1
1,0,1,87,74,70,77.0,0
